;add();get();remove();contains();populate();iterator.add();iterator.remove()
ArrayList;5.0;0.0;1.0;4.0;0.0;2.0;1.0;
LinkedList;51.0;3.0;5.0;10.0;0.0;0.0;0.0;
HashSet;0.0;;0.0;0.0;0.0;
TreeSet;0.0;;0.0;0.0;0.0;

ArrayList;4.0;0.0;10.0;42.0;0.0;23.0;22.0;
LinkedList;51.0;43.0;51.0;121.0;1.0;0.0;0.0;
HashSet;0.0;;0.0;0.0;1.0;
TreeSet;0.0;;0.0;0.0;1.0;

ArrayList;4.0;0.0;147.0;758.0;8.0;248.0;255.0;
LinkedList;50.0;830.0;863.0;1801.0;14.0;0.0;0.0;
HashSet;0.0;;0.0;0.0;14.0;
TreeSet;0.0;;0.0;0.0;10.0;

